Moisture,Ash,VolatileMatter,FixedCarbon,GCV_kcal_kg,Grade
14.383296776895413,26.4328944695862,34.7477521579618,24.436056595556593,3393.0471156091066,G14
3.5068375662023925,48.97613876874375,32.50621314577812,15.010810519275736,2358.4521993262097,G17
4.049818122808734,26.91620939161382,23.528354557349367,45.505617928228084,4739.180361421364,G9
12.301841921290633,42.55598775737486,25.198526573028616,19.943643748305895,2466.03585430703,G17
10.873356592253357,10.680324756375363,34.03551695582939,44.4108016955419,4993.715108071086,G8
14.129403841365981,22.890090661454472,37.32605456108277,25.654450936096772,3499.9954270743506,G13
14.45413595318019,16.17482572978264,25.734583085721788,43.63645523131539,4646.369661981612,G9
4.468631873080765,36.6880560361831,32.129529585879794,26.71378250485634,3347.5887064548456,G14
7.213205730210431,23.559307653464494,25.799783659343582,43.4277029569815,4686.127365364979,G9
4.078744085367546,27.979606901489216,20.218915028170336,47.7227339849729,4789.769370138203,G9
8.994430701957292,42.972484234429174,31.10609734605173,16.926987717561797,2556.6804353068546,G16
15.316156822323217,41.80010301486568,23.912002717694012,18.97173744511709,2434.473976304435,G17
12.919928063599608,13.869604311591011,19.59788865692749,53.61257896788189,5237.892886128544,G7
14.590790040034214,35.923735976865345,31.21880370840571,18.266670274694725,2609.4988528090344,G16
9.34265240861344,31.887130230021537,18.21533095693612,40.55488640442889,4178.508041037471,G11
12.694447388647546,27.786040658011565,28.000430449067345,31.519081504273544,3622.6954072263616,G13
12.155493120009453,31.250334827635825,27.861764697144512,28.73240735521021,3477.26776426135,G13
2.4930853530870305,26.34213034775922,19.93544747484917,51.22933682430458,5002.647481764263,G8
15.654449172290658,17.82545840634431,16.34096305884852,50.17912936251652,4857.935073063734,G9
6.697500124266938,35.80049361852959,27.811739503849402,29.690266753354067,3490.692323475263,G13
12.6290166452382,25.06824818048296,33.722468847318794,28.58026632696005,3563.1908994013243,G13
2.3633931701417676,11.782010152576953,31.614265063718356,54.24033161356292,5779.9878120323365,G6
4.580348464537629,29.043880554341268,18.503178362402874,47.87259261871823,4718.190209852978,G9
9.138500409184491,24.002891496052264,21.93477805040116,44.92383004436208,4558.957949658489,G10
7.789001768854247,11.681296611276242,17.714135748771852,62.81556587109766,5853.2387358025335,G5
16.537291051321713,37.38769962005148,21.115009113568952,24.960000215057853,2941.5381368774306,G15
14.460014463452714,38.10938794467782,25.33531454930714,22.095283042562333,2719.9789866472415,G16
3.5422553944559887,45.90930065484135,25.482854666173054,25.0655892845296,2824.8321404125913,G15
6.89530598641044,32.32722189555963,19.06577400760233,41.711698110427605,4042.365027562999,G11
14.136312477363361,38.21744414993935,24.938139914827385,22.708103457869907,2777.2008480382397,G16
11.34556750260377,35.29355726530244,16.94221938621745,36.418655845876344,3657.0169988415787,G13
2.6658267817902797,28.747614408269794,22.58680788365406,45.999750926285856,4704.558528811918,G9
3.6544474835608263,32.681072031463906,18.92363827634838,44.74084220862689,4338.995827444795,G10
